"","StnLocation","geometry"
"109","Gabarus",c(-60.1384090000214, 45.8401639999493)
"110","Gaspereaux",c(-62.45531667, 46.09595)
"111","Georgetown",c(-62.53127, 46.1788275)
"112","Gillis Cove",c(-61.0538999996097, 45.9110000002071)
"113","Grand Étang",c(-61.044045, 46.5486)
"114","Grand-Etang",c(-61.0442065, 46.54848)
"115","Grande Digue",c(-64.50982, 46.31356)
"116","Grande-Digue",c(-64.50989, 46.31348)
"117","Gullivers Cove",c(-65.9200000000665, 44.6100000002132)
"118","Gunning Cove",c(-65.3397300001348, 43.6807299999261)
"119","Guysborough",c(-61.496877999676, 45.3922039998778)
"120","Halifax BIO Jetty",c(-63.6106220000745, 44.6811069999431)
"121","Halifax Herring Cove",c(-63.556999999568, 44.5694000000357)
"122","Halifax, AYC",c(-63.6131000000827, 44.6358799999886)
"123","Halifax, RNSYS",c(-63.5802199998908, 44.6214199999849)
"124","Harbour de Loutre",c(-66.9386669998158, 44.9231669998279)
"125","Havre Boucher",c(-61.5275000001514, 45.6888000000872)
"126","Head Harbour",c(-66.9055000001376, 44.9465999999626)
"127","Hillsborough",c(-63.2766666666667, 46.1347)
"128","Hog Island",c(-66.9929000003171, 45.1417999996841)
"129","Hubbards",c(-64.0590700000419, 44.6376799999887)
"130","Indian Island",c(-66.9691000001454, 44.9349000002736)
"131","Indian Point Marine Farms",c(-64.306829999867, 44.4559800001007)
"132","Ingall's Head",c(-66.7566000000438, 44.6608999999861)
"133","Ingomar",c(-65.3624499999928, 43.5627000000127)
"134","Ingonish",c(-60.3592000000956, 46.6893000001191)
"135","Inverness",c(-61.3168499999008, 46.2300000000778)
"136","Kouchibouguac",c(-64.93448, 46.831505)
"137","L'Etete",c(-66.8955999999528, 45.0512999999779)
"138","Larrys River",c(-61.3737300000725, 45.2178800000603)
"139","Lennox Island",c(-63.85763, 46.59969)
"140","Leonardville",c(-66.9526999998437, 44.9716000001093)
"141","Lime Kiln Bay",c(-66.8216999996327, 45.0594000000407)
"142","Little Harbour",c(-60.7406699996203, 45.5833300002219)
"143","Little Narrows",c(-60.9841999996842, 45.9919000001413)
"144","Little River",c(-60.4593600000574, 46.447119999969)
"145","Lockeport",c(-65.1074000002338, 43.6995000003157)
"146","Louisburg",c(-59.9711529997956, 45.9178009999979)
"147","Lower Sandy Point",c(-65.3013499998802, 43.6801299997134)
"148","Lunenburg FMW",c(-64.310500000176, 44.3753999998626)
"149","Lunenburg RWW",c(-64.306869999917, 44.37524999989)
"150","Lunenburg Yacht Club",c(-64.3217000003799, 44.4108300001432)
"151","Mabou",c(-61.4645966666667, 46.0863263333333)
"152","Mahone Bay",c(-64.3743699996606, 44.4478200000899)
"153","Main a Dieu",c(-59.8410999999159, 46.0064999999783)
"154","Malpeque",c(-63.7645, 46.53221667)
"155","Marchwater",c(-63.7638, 46.53221667)
"156","Marie-Joseph Aqua",c(-62.0632200000816, 44.9673879997552)
"157","Merigomish",c(-62.4353025, 45.642950555)
"158","Merigomish Harbour",c(-62.43513, 45.643045)
"159","Meteghan",c(-66.1668800000915, 44.1936500001266)
"160","Mill Cove",c(-64.0540200003399, 44.5806199999372)
"161","Mill River",c(-64.09499, 46.77335)
"162","Miramichi",c(-65.45673926, 47.039039534)
"163","Miramichi (""Chatham"")",c(-65.47385, 47.02798)
"164","Miscou",c(-64.5769975, 47.894955)
"165","Montague",c(-62.59818, 46.1765)
"166","Moose Harbour",c(-64.6644000004262, 44.0187000001326)
"167","Morell",c(-62.713185, 46.4321175)
"168","Morrisons Cove",c(-61.0364999999673, 45.9090999997146)
"169","Murray Corner",c(-63.9348, 46.16889)
"170","Murray Harbour",c(-62.52294, 46.005445)
"171","Murray River",c(-62.5657, 46.028)
"172","Musquash",c(-66.2574999996827, 45.1866999997581)
"173","Musquash A",c(-66.2517710002464, 45.1527259998798)
"174","Naufrage",c(-62.4177, 46.4675)
"175","Neguac",c(-65.0726433333333, 47.2403566666667)
"176","Neguac leases",c(-65.040639, 47.26103)
"177","Neguac marina",c(-65.07263, 47.24038)
"178","New Campbellton",c(-60.4368880000889, 46.2893000000315)
"179","New London",c(-63.509022, 46.47542)
"180","Nine Mile Creek",c(-63.21846, 46.1482225)
"181","North Head",c(-66.7490000001787, 44.7630999998692)
"182","North Lake",c(-62.07180074, 46.46646037)
"183","North Road",c(-66.9412200000876, 44.9159939998853)
"184","North Rustico",c(-63.3101625, 46.4564975)
